bus_stop,vertical,horizontal,vertical_first
北白川,,,
北白川小倉町,,,
神泉苑前,,,
烏丸七条,烏丸,七条,1
小松原児童公園前,,,
河原町丸太町,河原町,丸太町,1
国道大手筋,,,
北白川仕伏町,,,
西大路五条,西大路,五条,1
河原町五条,河原町,五条,1
久世七本松,,,
墨染,,,
九条大宮,大宮,九条,0
千本丸太町,千本,丸太町,1
久世橋東詰,,,
九条車庫前,,,
千本北大路,千本,北大路,1
河原町八条,河原町,八条,1
西大路駅前,,,
京都駅八条口アバンティ前,,,
東寺道,,,
智恵光院中立売,智恵光院,中立売,1
大宮松原,大宮,松原,1
樫原塚ノ本町,,,
七条御前通,御前,七条,0
地下鉄十条駅前,,,
今宮神社前(京都府),,,
河原町正面,河原町,正面,1
西小路御池,西小路,御池,1
太秦天神川駅前,,,
荒神口,,,
千本旧二条,千本,旧二条,1
東寺南門前,,,
烏丸下立売,烏丸,下立売,1
妙心寺北門前,,,
西洞院六条,西洞院,六条,1
烏丸札ノ辻,烏丸,札ノ辻,1
堀川五条,堀川,五条,1
西大路花屋町,西大路,花屋町,1
七条大宮・京都水族館前,大宮,七条,0
十条新町,新町,十条,0
葛野大路八条,葛野大路,八条,1
北山駅前,,,
上堀川,,,
今出川浄福寺,浄福寺,今出川,0
烏丸六条,烏丸,六条,1
北白川校前,,,
鳴滝松本町,,,
四条京阪前,,,
丸太町京阪前,,,
西大路八条,西大路,八条,1
壬生寺道,,,
千本出水,千本,出水,1
西大路七条,西大路,七条,1
四条中学前,,,
河原町今出川,河原町,今出川,1
一乗寺地蔵本町,,,
四条河原町北詰〔よるバス〕,河原町,四条,0
久世橋通新町,新町,久世橋,0
七本松出水,七本松,出水,1
葛野大路高辻,葛野大路,高辻,1
五条京阪〔清水五条駅〕,,,
烏丸下長者町,烏丸,下長者町,1
北大路新町,新町,北大路,0
十条竹田街道,竹田街道,十条,0
丹波橋,,,
千本今出川,千本,今出川,1
大宮五条,大宮,五条,1
一条戻橋・晴明神社前,,,
七条河原町,河原町,七条,0
三栖大黒町,,,
三条京阪前,,,
八条中学前,,,
大宮交通公園前,,,
常盤御池町,,,
嵐電妙心寺駅前,,,
四条中新道,,,
上賀茂松本町,,,
岡崎道,,,
西大路三条,西大路,三条,1
西大路御池,西大路,御池,1
東山二条・岡崎公園口,東大路,二条,1
二条駅前,,,
七条壬生川,壬生川,七条,0
塩小路橋,,,
西洞院仏光寺,西洞院,仏光寺,1
久世橋通大宮,大宮,久世橋,0
塩小路高倉・京都市立芸術大学前,高倉,塩小路,1
北白川別当町,,,
梅小路公園・ＪＲ梅小路京都西駅前,,,
西大路四条［阪急・嵐電西院駅］,西大路,四条,1
五条大和大路・東山開睛館前,大和大路,五条,0
衣笠氷室町,,,
二条駅西口,,,
京都駅八条口,,,
堀川中立売,堀川,中立売,1
西洞院正面,西洞院,正面,1
西墨染通,,,
河原町三条北〔よるバス〕,河原町,三条,1
堀川三条,堀川,三条,1
