node,is_vertical
松原,False
八条,False
御前,True
七本松,True
仁和寺街道,False
旧二条,False
鞍馬口,False
五条,False
御池,False
札ノ辻,False
葛野大路,True
出水,False
蛸薬師,False
油小路,True
寺ノ内,False
一条,False
烏丸,True
丹波橋,False
新間ノ町,True
西大路,True
久世橋,False
下立売,False
川端,True
智恵光院,True
九条,False
三条,False
七条,False
千本,True
二条,False
今出川,False
浄福寺,True
東寺,False
十条,False
仁王門,False
西洞院,True
西小路,True
新町,True
下長者町,False
大宮,True
正面,False
丸太町,False
北大路,False
花屋町,False
竹田街道,True
仏光寺,False
高倉,True
春日,True
上立売,False
堺町,True
堀川,True
河原町,True
六条,False
東大路,True
中立売,False
高辻,False
壬生川,True
塩小路,False
大和大路,True
四条,False
